未処理 839件 / 既存 2349件
  10/839 生成2 部品除外8 失敗0  38秒/件  残り約521分
  20/839 生成8 部品除外12 失敗0  23秒/件  残り約314分
  30/839 生成9 部品除外21 失敗0  18秒/件  残り約239分
  40/839 生成13 部品除外27 失敗0  15秒/件  残り約201分
  50/839 生成16 部品除外34 失敗0  13秒/件  残り約176分
  60/839 生成18 部品除外42 失敗0  12秒/件  残り約159分
  70/839 生成21 部品除外49 失敗0  13秒/件  残り約170分
  80/839 生成21 部品除外59 失敗0  13秒/件  残り約166分
  90/839 生成24 部品除外66 失敗0  14秒/件  残り約176分
  100/839 生成27 部品除外73 失敗0  17秒/件  残り約205分
  110/839 生成32 部品除外78 失敗0  18秒/件  残り約220分
  120/839 生成35 部品除外85 失敗0  18秒/件  残り約219分
  130/839 生成40 部品除外90 失敗0  17秒/件  残り約207分
  140/839 生成41 部品除外99 失敗0  17秒/件  残り約201分
  150/839 生成44 部品除外106 失敗0  17秒/件  残り約193分
  160/839 生成46 部品除外114 失敗0  17秒/件  残り約187分
  170/839 生成50 部品除外120 失敗0  16秒/件  残り約178分
  180/839 生成54 部品除外126 失敗0  16秒/件  残り約173分
  190/839 生成56 部品除外134 失敗0  16秒/件  残り約177分
  200/839 生成59 部品除外141 失敗0  16秒/件  残り約169分
  210/839 生成62 部品除外148 失敗0  18秒/件  残り約191分
  220/839 生成65 部品除外155 失敗0  18秒/件  残り約183分
  230/839 生成69 部品除外161 失敗0  17秒/件  残り約175分
  240/839 生成72 部品除外168 失敗0  18秒/件  残り約175分
  250/839 生成74 部品除外176 失敗0  17秒/件  残り約170分
  260/839 生成77 部品除外183 失敗0  17秒/件  残り約164分
  270/839 生成82 部品除外188 失敗0  17秒/件  残り約160分
  280/839 生成86 部品除外194 失敗0  17秒/件  残り約155分
  290/839 生成87 部品除外203 失敗0  17秒/件  残り約152分
  300/839 生成91 部品除外209 失敗0  17秒/件  残り約149分
  310/839 生成95 部品除外215 失敗0  17秒/件  残り約146分
  320/839 生成97 部品除外223 失敗0  16秒/件  残り約141分
  330/839 生成99 部品除外231 失敗0  17秒/件  残り約143分
  340/839 生成102 部品除外238 失敗0  17秒/件  残り約139分
  350/839 生成105 部品除外245 失敗0  16秒/件  残り約133分
  360/839 生成108 部品除外252 失敗0  16秒/件  残り約128分
  370/839 生成111 部品除外259 失敗0  17秒/件  残り約129分
  380/839 生成115 部品除外265 失敗0  16秒/件  残り約124分
  390/839 生成119 部品除外271 失敗0  16秒/件  残り約121分
  400/839 生成121 部品除外279 失敗0  17秒/件  残り約123分
  410/839 生成122 部品除外288 失敗0  17秒/件  残り約123分
  420/839 生成126 部品除外294 失敗0  17秒/件  残り約119分
  430/839 生成129 部品除外301 失敗0  17秒/件  残り約118分
  440/839 生成134 部品除外305 失敗0  18秒/件  残り約118分
  540/839 生成151 部品除外333 失敗0  15秒/件  残り約77分
  580/839 生成159 部品除外346 失敗0  15秒/件  残り約63分
  590/839 生成161 部品除外348 失敗0  14秒/件  残り約60分
  600/839 生成166 部品除外353 失敗0  15秒/件  残り約58分
  610/839 生成173 部品除外356 失敗0  15秒/件  残り約56分
  620/839 生成178 部品除外361 失敗0  15秒/件  残り約53分
  630/839 生成182 部品除外367 失敗0  15秒/件  残り約51分
  640/839 生成189 部品除外370 失敗0  15秒/件  残り約49分
  650/839 生成196 部品除外373 失敗0  15秒/件  残り約46分
  660/839 生成204 部品除外375 失敗0  14秒/件  残り約43分
  670/839 生成208 部品除外381 失敗0  15秒/件  残り約42分
  680/839 生成216 部品除外383 失敗0  15秒/件  残り約40分
  690/839 生成225 部品除外384 失敗0  15秒/件  残り約38分
  700/839 生成233 部品除外386 失敗0  15秒/件  残り約35分
  710/839 生成240 部品除外389 失敗0  16秒/件  残り約33分
  720/839 生成246 部品除外393 失敗0  16秒/件  残り約31分
  730/839 生成254 部品除外395 失敗0  16秒/件  残り約28分
  740/839 生成261 部品除外398 失敗0  16秒/件  残り約26分
  750/839 生成268 部品除外401 失敗0  15秒/件  残り約23分
  760/839 生成273 部品除外406 失敗0  15秒/件  残り約20分
  770/839 生成279 部品除外410 失敗0  15秒/件  残り約18分
  780/839 生成287 部品除外412 失敗0  15秒/件  残り約15分
  790/839 生成294 部品除外415 失敗0  15秒/件  残り約13分
  800/839 生成298 部品除外421 失敗0  15秒/件  残り約10分
  810/839 生成304 部品除外425 失敗0  15秒/件  残り約7分
  820/839 生成310 部品除外429 失敗0  15秒/件  残り約5分
  830/839 生成316 部品除外433 失敗0  15秒/件  残り約2分
  839/839 生成321 部品除外437 失敗0  16秒/件  残り約0分
完了: 生成321 部品除外437 失敗0 ／ 220分
